price,bedroom,bathroom,area(sqft),country,city,address,propert_type,purpose,furnishing,completion_status,handover,project_name
"600,000",Studio,1 bath,438 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Ready,Q4 2026,SLS Dubai Hotel & Residences
"3,200,000",1 bed,2 baths,801 sqft, UAE, Dubai, Downtown Dubai,Apartment,Sale,Unfurnished,Ready,Q4 2026,SLS Dubai Hotel & Residences
"57,500,000",4 beds,5 baths,"7,191 sqft", UAE, Dubai, Palm Jumeirah,Apartment,Sale,Furnished,Off-Plan,Q4 2026,Armani Beach Residences
"2,500,000",1 bed,2 baths,"1,100 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2026,SLS Dubai Hotel & Residences
"1,080,000",Studio,1 bath,432 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2026,SLS Dubai Hotel & Residences
"1,100,000",Studio,1 bath,332 sqft, UAE, Dubai, Meydan City,Apartment,Sale,Furnished,Off-Plan,Q1 2025,Azizi Riviera 59 
"1,100,000",Studio,1 bath,333 sqft, UAE, Dubai, Meydan City,Apartment,Sale,Furnished,Off-Plan,Q1 2025,Azizi Riviera 59 
"4,499,999",2 beds,3 baths,"2,038 sqft", UAE, Dubai, Culture Village (Jaddaf Waterfront),Apartment,Sale,Unfurnished,Ready,Q1 2025,Palazzo Versace
"1,050,000",Studio,1 bath,460 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Ready,Q1 2025,Palazzo Versace
"1,900,000",2 beds,4 baths,943 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q1 2025,Palazzo Versace
"1,200,000",Studio,1 bath,331 sqft, UAE, Dubai, Palm Jumeirah,Apartment,Sale,Furnished,Ready,Q1 2025,Seven Palm
"1,150,000",1 bed,2 baths,933 sqft, UAE, Dubai, Green Community,Apartment,Sale,Unfurnished,Ready,Q1 2025,Green Community West
"2,700,000",2 beds,4 baths,"1,690 sqft", UAE, Dubai, Jumeirah Lake Towers (JLT),Apartment,Sale,Unfurnished,Ready,Q1 2025,Green Community West
"530,000",Studio,1 bath,449 sqft, UAE, Dubai, Dubai South,Apartment,Sale,Furnished,Ready,Q1 2025,Green Community West
"7,299,999",3 beds,3 baths,"1,939 sqft", UAE, Dubai, Downtown Dubai,Apartment,Sale,Unfurnished,Ready,Q1 2025,Green Community West
"2,850,000",2 beds,4 baths,"1,462 sqft", UAE, Dubai, DIFC,Apartment,Sale,Unfurnished,Ready,Q1 2025,Green Community West
"1,275,000",1 bed,2 baths,951 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Ready,Q1 2025,Green Community West
"1,650,000",1 bed,2 baths,784 sqft, UAE, Dubai, Sobha Hartland,Apartment,Sale,Unfurnished,Ready,Q1 2025,Creek Vistas Grande
"4,500,000",3 beds,4 baths,"2,744 sqft", UAE, Dubai, Al Furjan,Townhouse,Sale,Unfurnished,Ready,Q1 2025,Creek Vistas Grande
"33,460,000",6 beds,6 baths,"11,319 sqft", UAE, Dubai, Tilal Al Ghaf,Villa,Sale,Unfurnished,Off-Plan,Q4 2026,Serenity Mansions
"1,847,058",1 bed,2 baths,971 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Off-Plan,Q4 2024,Dawn by Binghatti
"3,900,000",3 beds,5 baths,"2,899 sqft", UAE, Dubai, Dubai South,Villa,Sale,Unfurnished,Ready,Q4 2024,Dawn by Binghatti
"1,800,000",1 bed,2 baths,"1,101 sqft", UAE, Dubai, DIFC,Apartment,Sale,Unfurnished,Ready,Q4 2024,Dawn by Binghatti
"919,900",1 bed,2 baths,637 sqft, UAE, Dubai, Dubai Production City (IMPZ),Apartment,Sale,Unfurnished,Ready,Q4 2024,Dawn by Binghatti
"850,000",1 bed,2 baths,657 sqft, UAE, Dubai, Dubai Production City (IMPZ),Apartment,Sale,Furnished,Ready,Q4 2024,Dawn by Binghatti
"600,000",Studio,1 bath,438 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Ready,Q4 2024,Dawn by Binghatti
"7,490,000",5 beds,5 baths,"6,458 sqft", UAE, Dubai, Al Furjan,Villa,Sale,Unfurnished,Ready,Q4 2024,Al Furjan West
"1,495,000",1 bed,2 baths,730 sqft, UAE, Dubai, Al Jaddaf,Apartment,Sale,Furnished,Ready,Q4 2024,Al Furjan West
"12,622,500",4 beds,4 baths,"2,661 sqft", UAE, Dubai, Umm Suqeim,Apartment,Sale,Unfurnished,Ready,Q4 2024,Al Furjan West
"3,733,204",4 beds,4 baths,"2,329 sqft", UAE, Dubai, Motor City,Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,Takaya Tower A
"1,499,999",1 bed,1 bath,610 sqft, UAE, Dubai, Dubai Marina,Apartment,Sale,Furnished,Ready,Q4 2027,Wyndham Dubai Marina
"3,200,000",1 bed,2 baths,801 sqft, UAE, Dubai, Downtown Dubai,Apartment,Sale,Unfurnished,Ready,Q4 2027,Wyndham Dubai Marina
"3,300,000",4 beds,5 baths,"2,172 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Ready,Q4 2027,Elite Business Bay Residence
"9,451,275",5 beds,6 baths,"5,752 sqft", UAE, Dubai, Dubailand,Villa,Sale,Unfurnished,Off-Plan,Q2 2026,Sobha Reserve
"3,019,019",1 bed,2 baths,"1,187 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q2 2026,Sobha Reserve
"4,287,088",2 beds,3 baths,"1,663 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q2 2026,Sobha Reserve
"2,200,000",2 beds,2 baths,966 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Ready,Q2 2026,MAG 318
"2,199,000",1 bed,2 baths,"1,011 sqft", UAE, Dubai, Downtown Dubai,Apartment,Sale,Unfurnished,Ready,Q2 2026,MAG 318
"23,000,000",2 beds,3 baths,"2,657 sqft", UAE, Dubai, Palm Jumeirah,Apartment,Sale,Furnished,Off-Plan,Q4 2026,Armani Beach Residences
"3,019,019",1 bed,2 baths,"1,187 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2026,Armani Beach Residences
"4,287,088",2 beds,3 baths,"1,663 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2026,Armani Beach Residences
"2,200,000",2 beds,2 baths,966 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Ready,Q4 2026,MAG 318
"1,080,000",Studio,1 bath,432 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Ready,Q4 2026,MAG 318
"1,100,000",Studio,1 bath,332 sqft, UAE, Dubai, Meydan City,Apartment,Sale,Furnished,Off-Plan,Q1 2025,Azizi Riviera 59 
"1,100,000",Studio,1 bath,333 sqft, UAE, Dubai, Meydan City,Apartment,Sale,Furnished,Off-Plan,Q1 2025,Azizi Riviera 59 
"4,499,999",2 beds,3 baths,"2,038 sqft", UAE, Dubai, Culture Village (Jaddaf Waterfront),Apartment,Sale,Unfurnished,Ready,Q1 2025,Palazzo Versace
"1,050,000",Studio,1 bath,460 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Ready,Q1 2025,Palazzo Versace
"1,900,000",2 beds,4 baths,943 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q1 2025,Palazzo Versace
"1,200,000",Studio,1 bath,331 sqft, UAE, Dubai, Palm Jumeirah,Apartment,Sale,Furnished,Ready,Q1 2025,Seven Palm
"39,000,000",3 beds,4 baths,"4,865 sqft", UAE, Dubai, Palm Jumeirah,Apartment,Sale,Unfurnished,Off-Plan,Q4 2026,Armani Beach Residences
"1,150,000",1 bed,2 baths,933 sqft, UAE, Dubai, Green Community,Apartment,Sale,Unfurnished,Ready,Q4 2026,Green Community West
"2,700,000",2 beds,4 baths,"1,690 sqft", UAE, Dubai, Jumeirah Lake Towers (JLT),Apartment,Sale,Unfurnished,Ready,Q4 2026,Green Community West
"530,000",Studio,1 bath,449 sqft, UAE, Dubai, Dubai South,Apartment,Sale,Furnished,Ready,Q4 2026,Green Community West
"2,850,000",2 beds,4 baths,"1,462 sqft", UAE, Dubai, DIFC,Apartment,Sale,Unfurnished,Ready,Q4 2026,Green Community West
"1,275,000",1 bed,2 baths,951 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Ready,Q4 2026,Green Community West
"1,650,000",1 bed,2 baths,784 sqft, UAE, Dubai, Sobha Hartland,Apartment,Sale,Unfurnished,Ready,Q4 2026,Creek Vistas Grande
"4,500,000",3 beds,4 baths,"2,744 sqft", UAE, Dubai, Al Furjan,Townhouse,Sale,Unfurnished,Ready,Q4 2026,Creek Vistas Grande
"33,460,000",6 beds,6 baths,"11,319 sqft", UAE, Dubai, Tilal Al Ghaf,Villa,Sale,Unfurnished,Off-Plan,Q4 2026,Serenity Mansions
"1,847,058",1 bed,2 baths,971 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Off-Plan,Q4 2024,Dawn by Binghatti
"3,900,000",3 beds,5 baths,"2,899 sqft", UAE, Dubai, Dubai South,Villa,Sale,Unfurnished,Ready,Q4 2024,Dawn by Binghatti
"57,500,000",4 beds,5 baths,"7,191 sqft", UAE, Dubai, Palm Jumeirah,Apartment,Sale,Furnished,Off-Plan,Q4 2026,Armani Beach Residences
"1,800,000",1 bed,2 baths,"1,101 sqft", UAE, Dubai, DIFC,Apartment,Sale,Unfurnished,Ready,Q4 2026,Armani Beach Residences
"919,900",1 bed,2 baths,637 sqft, UAE, Dubai, Dubai Production City (IMPZ),Apartment,Sale,Unfurnished,Ready,Q4 2026,Armani Beach Residences
"850,000",1 bed,2 baths,657 sqft, UAE, Dubai, Dubai Production City (IMPZ),Apartment,Sale,Furnished,Ready,Q4 2026,Armani Beach Residences
"7,490,000",5 beds,5 baths,"6,458 sqft", UAE, Dubai, Al Furjan,Villa,Sale,Unfurnished,Ready,Q4 2026,Al Furjan West
"1,495,000",1 bed,2 baths,730 sqft, UAE, Dubai, Al Jaddaf,Apartment,Sale,Furnished,Ready,Q4 2026,Al Furjan West
"2,500,000",1 bed,2 baths,"1,100 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2026,SLS Dubai Hotel & Residences
"7,299,999",3 beds,3 baths,"1,939 sqft", UAE, Dubai, Downtown Dubai,Apartment,Sale,Unfurnished,Ready,Q4 2026,SLS Dubai Hotel & Residences
"600,000",Studio,1 bath,438 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Ready,Q4 2026,SLS Dubai Hotel & Residences
"3,200,000",1 bed,2 baths,801 sqft, UAE, Dubai, Downtown Dubai,Apartment,Sale,Unfurnished,Ready,Q4 2026,SLS Dubai Hotel & Residences
"3,300,000",4 beds,5 baths,"2,172 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Ready,Q4 2026,Elite Business Bay Residence
"9,451,275",5 beds,6 baths,"5,752 sqft", UAE, Dubai, Dubailand,Villa,Sale,Unfurnished,Off-Plan,Q2 2026,Sobha Reserve
"1,991,891",1 bed,2 baths,935 sqft, UAE, Dubai, Bukadra,Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,340 Riverside Crescent
"1,220,000",Studio,1 bath,495 sqft, UAE, Dubai, Bukadra,Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,340 Riverside Crescent
"3,049,747",1 bed,2 baths,"1,548 sqft", UAE, Dubai, Dubai Islands,Apartment,Sale,Furnished,Off-Plan,Q4 2026,Sunset Bay by Imtiaz
"2,400,000",2 beds,3 baths,"1,355 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Ready,Q4 2026,Sunset Bay by Imtiaz
"3,700,000",3 beds,5 baths,"2,851 sqft", UAE, Dubai, Dubai South,Townhouse,Sale,Furnished,Ready,Q4 2026,Sunset Bay by Imtiaz
"5,500,000",3 beds,4 baths,"3,058 sqft", UAE, Dubai, Nad Al Sheba,Townhouse,Sale,Unfurnished,Off-Plan,Q4 2024,Sunset Bay by Imtiaz
"2,900,000",2 beds,2 baths,"1,144 sqft", UAE, Dubai, Al Sufouh,Apartment,Sale,Unfurnished,Off-Plan,Q1 2026,Biltmore Sufouh
"1,800,000",1 bed,2 baths,881 sqft, UAE, Dubai, Sobha Hartland,Apartment,Sale,Unfurnished,Off-Plan,Q4 2025,The Highbury
"3,800,000",2 beds,3 baths,"1,449 sqft", UAE, Dubai, Downtown Dubai,Apartment,Sale,Unfurnished,Off-Plan,Q2 2024,Imperial Avenue
"1,550,000",1 bed,2 baths,642 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Off-Plan,Q4 2024,The Paragon by IGO
"3,400,000",2 beds,3 baths,"1,488 sqft", UAE, Dubai, Downtown Dubai,Apartment,Sale,Unfurnished,Ready,Q4 2024,The Paragon by IGO
"1,500,000",1 bed,2 baths,712 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Off-Plan,Q4 2024,Regalia by Deyaar
"3,500,000",2 beds,2 baths,"1,227 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2024,Trillionaire Residences by Binghatti
"1,200,000",Studio,1 bath,427 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Ready,Q4 2024,Trillionaire Residences by Binghatti
"1,399,999",1 bed,2 baths,"1,314 sqft", UAE, Dubai, DAMAC Hills,Apartment,Sale,Furnished,Ready,Q4 2024,Trillionaire Residences by Binghatti
"3,250,000",2 beds,3 baths,"1,276 sqft", UAE, Dubai, DIFC,Apartment,Sale,Unfurnished,Ready,Q4 2024,Sky Gardens DIFC
"2,300,000",2 beds,3 baths,"1,606 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2024,Sky Gardens DIFC
"3,709,888",2 beds,3 baths,"1,686 sqft", UAE, Dubai, Culture Village (Jaddaf Waterfront),Apartment,Sale,Unfurnished,Ready,Q4 2024,Palazzo Versace
"14,499,888",4 beds,4 baths,"6,552 sqft", UAE, Dubai, Culture Village (Jaddaf Waterfront),Apartment,Sale,Unfurnished,Ready,Q4 2024,Palazzo Versace
"1,199,000",1 bed,1 bath,656 sqft, UAE, Dubai, DAMAC Hills,Apartment,Sale,Unfurnished,Off-Plan,Q4 2024,Golf Gate 2
"2,199,000",1 bed,2 baths,"1,011 sqft", UAE, Dubai, Downtown Dubai,Apartment,Sale,Unfurnished,Ready,Q4 2024,Golf Gate 2
"23,000,000",2 beds,3 baths,"2,657 sqft", UAE, Dubai, Palm Jumeirah,Apartment,Sale,Furnished,Off-Plan,Q4 2026,Armani Beach Residences
"39,000,000",3 beds,4 baths,"4,865 sqft", UAE, Dubai, Palm Jumeirah,Apartment,Sale,Unfurnished,Off-Plan,Q4 2026,Armani Beach Residences
"1,600,000",Studio,1 bath,533 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2026,Trillionaire Residences by Binghatti
"57,500,000",4 beds,5 baths,"7,191 sqft", UAE, Dubai, Palm Jumeirah,Apartment,Sale,Furnished,Off-Plan,Q4 2026,Armani Beach Residences
"2,500,000",1 bed,2 baths,"1,100 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2026,SLS Dubai Hotel & Residences
"7,299,999",3 beds,3 baths,"1,939 sqft", UAE, Dubai, Downtown Dubai,Apartment,Sale,Unfurnished,Ready,Q4 2026,SLS Dubai Hotel & Residences
"600,000",Studio,1 bath,438 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Ready,Q4 2026,SLS Dubai Hotel & Residences
"3,200,000",1 bed,2 baths,801 sqft, UAE, Dubai, Downtown Dubai,Apartment,Sale,Unfurnished,Ready,Q4 2026,SLS Dubai Hotel & Residences
"2,550,000",2 beds,2 baths,"1,264 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2026,Canal Bay
"3,750,000",2 beds,3 baths,"1,712 sqft", UAE, Dubai, Al Sufouh,Apartment,Sale,Unfurnished,Off-Plan,Q1 2025,Fairmont Dubai Skyline
"3,450,000",5 beds,6 baths,"3,345 sqft", UAE, Dubai, DAMAC Lagoons,Townhouse,Sale,Unfurnished,Off-Plan,Q3 2025,Santorini
"10,700,000",4 beds,6 baths,"4,851 sqft", UAE, Dubai,Jumeirah Park,Villa,Sale,Unfurnished,Ready,Q3 2025,Santorini
"3,400,000",4 beds,4 baths,"3,165 sqft", UAE, Dubai, The Valley by Emaar,Villa,Sale,Unfurnished,Off-Plan,Q4 2025,Orania
"11,000,000",4 beds,5 baths,"4,335 sqft", UAE, Dubai,Jumeirah Park,Villa,Sale,Unfurnished,Ready,Q4 2025,Orania
"7,600,000",4 beds,5 baths,"6,062 sqft", UAE, Dubai, Al Furjan,Villa,Sale,Unfurnished,Ready,Q4 2025,Murooj Al Furjan
"30,000,000",6 beds,7 baths,"16,730 sqft", UAE, Dubai, Arabian Ranches,Villa,Sale,Unfurnished,Ready,Q4 2025,Polo Homes
"2,299,999",4 beds,4 baths,"2,415 sqft", UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Townhouse,Sale,Unfurnished,Off-Plan,Q2 2026,Verona
"2,699,890",1 bed,2 baths,912 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Off-Plan,Q1 2029,Tiger Sky Tower
"1,991,891",1 bed,2 baths,935 sqft, UAE, Dubai, Bukadra,Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,340 Riverside Crescent
"1,220,000",Studio,1 bath,495 sqft, UAE, Dubai, Bukadra,Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,340 Riverside Crescent
"3,500,000",2 beds,2 baths,"1,227 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2027,Trillionaire Residences by Binghatti
"1,600,000",Studio,1 bath,533 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2027,Trillionaire Residences by Binghatti
"2,550,000",2 beds,2 baths,"1,264 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2027,Canal Bay
"3,750,000",2 beds,3 baths,"1,712 sqft", UAE, Dubai, Al Sufouh,Apartment,Sale,Unfurnished,Off-Plan,Q1 2025,Fairmont Dubai Skyline
"3,450,000",5 beds,6 baths,"3,345 sqft", UAE, Dubai, DAMAC Lagoons,Townhouse,Sale,Unfurnished,Off-Plan,Q3 2025,Santorini
"10,700,000",4 beds,6 baths,"4,851 sqft", UAE, Dubai,Jumeirah Park,Villa,Sale,Unfurnished,Ready,Q3 2025,Santorini
"32,500,000",4 beds,5 baths,"5,000 sqft", UAE, Dubai, Palm Jumeirah,Villa,Sale,Furnished,Ready,Q3 2025,Santorini
"3,400,000",4 beds,4 baths,"3,165 sqft", UAE, Dubai, The Valley by Emaar,Villa,Sale,Unfurnished,Off-Plan,Q4 2025,Orania
"11,000,000",4 beds,5 baths,"4,335 sqft", UAE, Dubai,Jumeirah Park,Villa,Sale,Unfurnished,Ready,Q4 2025,Orania
"3,049,747",1 bed,2 baths,"1,548 sqft", UAE, Dubai, Dubai Islands,Apartment,Sale,Furnished,Off-Plan,Q4 2026,Sunset Bay by Imtiaz
"2,400,000",2 beds,3 baths,"1,355 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Ready,Q4 2026,Sunset Bay by Imtiaz
"3,700,000",3 beds,5 baths,"2,851 sqft", UAE, Dubai, Dubai South,Townhouse,Sale,Furnished,Ready,Q4 2026,Sunset Bay by Imtiaz
"5,500,000",3 beds,4 baths,"3,058 sqft", UAE, Dubai, Nad Al Sheba,Townhouse,Sale,Unfurnished,Off-Plan,Q4 2024,Sunset Bay by Imtiaz
"2,900,000",2 beds,2 baths,"1,144 sqft", UAE, Dubai, Al Sufouh,Apartment,Sale,Unfurnished,Off-Plan,Q1 2026,Biltmore Sufouh
"1,800,000",1 bed,2 baths,881 sqft, UAE, Dubai, Sobha Hartland,Apartment,Sale,Unfurnished,Off-Plan,Q4 2025,The Highbury
"3,800,000",2 beds,3 baths,"1,449 sqft", UAE, Dubai, Downtown Dubai,Apartment,Sale,Unfurnished,Off-Plan,Q2 2024,Imperial Avenue
"1,550,000",1 bed,2 baths,642 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Off-Plan,Q4 2024,The Paragon by IGO
"4,350,000",2 beds,3 baths,"1,409 sqft", UAE, Dubai, Downtown Dubai,Apartment,Sale,Unfurnished,Off-Plan,Q4 2026,St. Regis Residences Tower 2
"3,400,000",2 beds,3 baths,"1,488 sqft", UAE, Dubai, Downtown Dubai,Apartment,Sale,Unfurnished,Ready,Q4 2026,St. Regis Residences Tower 2
"1,500,000",1 bed,2 baths,712 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Off-Plan,Q4 2024,Regalia by Deyaar
"1,200,000",Studio,1 bath,427 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Ready,Q4 2024,Regalia by Deyaar
"1,399,999",1 bed,2 baths,"1,314 sqft", UAE, Dubai, DAMAC Hills,Apartment,Sale,Furnished,Ready,Q4 2024,Regalia by Deyaar
"3,250,000",2 beds,3 baths,"1,276 sqft", UAE, Dubai, DIFC,Apartment,Sale,Unfurnished,Ready,Q4 2024,Sky Gardens DIFC
"1,650,000",1 bed,1 bath,709 sqft, UAE, Dubai, Dubai Creek Harbour,Apartment,Sale,Unfurnished,Ready,Q4 2024,Sky Gardens DIFC
"1,000,000",1 bed,2 baths,754 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2024,Clayton Residency
"21,500,000",4 beds,5 baths,"2,840 sqft", UAE, Dubai, Downtown Dubai,Apartment,Sale,Furnished,Ready,Q4 2024,Kempinski The Boulevard
"1,813,411",1 bed,2 baths,813 sqft, UAE, Dubai, Dubai Islands,Apartment,Sale,Unfurnished,Off-Plan,Q2 2026,Allegro Residences
"1,294,106",1 bed,2 baths,889 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Off-Plan,Q2 2026,Ozone1 Residence
"890,000",2 beds,2 baths,805 sqft, UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Apartment,Sale,Unfurnished,Off-Plan,Q4 2026,ELO
"975,000",2 beds,3 baths,"1,385 sqft", UAE, Dubai, Dubai Production City (IMPZ),Apartment,Sale,Unfurnished,Ready,Q4 2026,ELO
"15,990,000",4 beds,5 baths,"2,731 sqft", UAE, Dubai, Downtown Dubai,Apartment,Sale,Furnished,Ready,Q4 2026,ELO
"1,900,000",Studio,1 bath,546 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2026,Trillionaire Residences by Binghatti
"699,000",Studio,1 bath,403 sqft, UAE, Dubai, Dubai Science Park,Apartment,Sale,Unfurnished,Off-Plan,Q4 2026,Opalz By Danube
"579,000",Studio,1 bath,337 sqft, UAE, Dubai, Dubai South,Apartment,Sale,Unfurnished,Off-Plan,Q1 2026,AZIZI VENICE 7
"1,785,000",1 bed,2 baths,808 sqft, UAE, Dubai, Mina Rashid,Apartment,Sale,Unfurnished,Off-Plan,Q1 2026,Clearpoint
"1,200,000",1 bed,1 bath,485 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Ready,Q1 2026,Vera Residences
"2,000,000",1 bed,1 bath,789 sqft, UAE, Dubai, Dubai Creek Harbour,Apartment,Sale,Unfurnished,Ready,Q1 2026,Vera Residences
"3,290,000",2 beds,3 baths,"1,297 sqft", UAE, Dubai, Dubai Hills Estate,Apartment,Sale,Unfurnished,Ready,Q1 2026,Vera Residences
"1,005,500",Studio,1 bath,409 sqft, UAE, Dubai, Al Satwa,Apartment,Sale,Furnished,Off-Plan,Q4 2025,Coral by Vision
"5,900,000",4 beds,5 baths,"4,339 sqft", UAE, Dubai, Al Furjan,Townhouse,Sale,Unfurnished,Off-Plan,Q4 2024,Coral by Vision
"1,400,000",1 bed,2 baths,602 sqft, UAE, Dubai, Al Jaddaf,Apartment,Sale,Furnished,Ready,Q4 2024,Coral by Vision
"17,500,000",3 beds,4 baths,"3,460 sqft", UAE, Dubai, Downtown Dubai,Penthouse,Sale,Furnished,Ready,Q4 2024,Kempinski The Boulevard
"6,750,000",4 beds,5 baths,"3,247 sqft", UAE, Dubai, Arabian Ranches 2,Villa,Sale,Unfurnished,Ready,Q4 2024,Casa
"1,849,999",3 beds,5 baths,"1,633 sqft", UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Townhouse,Sale,Unfurnished,Ready,Q4 2024,Acuna
"3,900,000",3 beds,4 baths,"1,774 sqft", UAE, Dubai, Dubai Creek Harbour,Apartment,Sale,Unfurnished,Ready,Q4 2024,Acuna
"1,550,000",1 bed,1 bath,569 sqft, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Off-Plan,Q3 2024,Peninsula Two
"4,600,000",4 beds,5 baths,"3,298 sqft", UAE, Dubai, Dubai South,Villa,Sale,Unfurnished,Off-Plan,Q4 2024,Peninsula Two
"730,000",1 bed,2 baths,980 sqft, UAE, Dubai, Discovery Gardens,Apartment,Sale,Unfurnished,Ready,Q4 2024,Peninsula Two
"4,850,000",4 beds,6 baths,"3,556 sqft", UAE, Dubai, Dubai South,Villa,Sale,Unfurnished,Off-Plan,Q1 2025,Peninsula Two
"9,999,999",2 beds,3 baths,"1,848 sqft", UAE, Dubai, Downtown Dubai,Apartment,Sale,Furnished,Ready,Q1 2025,The Address Downtown Hotel (Lake Hotel)
"2,550,000",3 beds,3 baths,"1,901 sqft", UAE, Dubai, Dubailand,Apartment,Sale,Unfurnished,Off-Plan,Q2 2028,Moss
"2,500,000",3 beds,3 baths,"1,912 sqft", UAE, Dubai, Dubailand,Apartment,Sale,Unfurnished,Off-Plan,Q2 2028,Forest
"3,500,000",2 beds,2 baths,"1,071 sqft", UAE, Dubai, Downtown Dubai,Apartment,Sale,Furnished,Ready,Q2 2028,Burj Crown
"1,200,000",1 bed,2 baths,899 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Ready,Q2 2028,Burj Crown
"600,000",Studio,1 bath,387 sqft, UAE, Dubai, Dubai Studio City,Apartment,Sale,Unfurnished,Off-Plan,Q2 2026,Azizi Beach Oasis 2 Tower A
"400,000",Studio,1 bath,379 sqft, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Unfurnished,Ready,Q2 2026,K1 Building
"1,680,000",1 bed,1 bath,664 sqft, UAE, Dubai, Dubai Creek Harbour,Apartment,Sale,Furnished,Ready,Q2 2026,K1 Building
"705,000",Studio,1 bath,398 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Off-Plan,Q1 2026,Binghatti Amberhall
"2,400,000",Studio,1 bath,520 sqft, UAE, Dubai, Downtown Dubai,Apartment,Sale,Furnished,Ready,Q1 2026,The Address Downtown Hotel (Lake Hotel)
"3,400,000",3 beds,2 baths,"1,302 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Ready,Q1 2026,The Address Downtown Hotel (Lake Hotel)
"2,100,000",2 beds,2 baths,"1,556 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Ready,Q1 2026,The Address Downtown Hotel (Lake Hotel)
